"시점","동별(1)","동별(2)",구분별(1),구분별(2),데이터
"2024 2/4","합계","소계",세대 (세대),소계,4486014
"2024 2/4","합계","소계",계 (명),소계,9619861
"2024 2/4","합계","소계",계 (명),남자,4634458
"2024 2/4","합계","소계",계 (명),여자,4985403
"2024 2/4","합계","소계",한국인 (명),소계,9366283
"2024 2/4","합계","소계",한국인 (명),남자,4524862
"2024 2/4","합계","소계",한국인 (명),여자,4841421
"2024 2/4","합계","소계",등록외국인 (명),소계,253578
"2024 2/4","합계","소계",등록외국인 (명),남자,109596
"2024 2/4","합계","소계",등록외국인 (명),여자,143982
"2024 2/4","합계","소계",세대당인구 (명),소계,2.09
"2024 2/4","합계","소계",65세이상고령자 (명),소계,1785286
"2024 2/4","합계","종로구",세대 (세대),소계,72394
"2024 2/4","합계","종로구",계 (명),소계,150204
"2024 2/4","합계","종로구",계 (명),남자,71684
"2024 2/4","합계","종로구",계 (명),여자,78520
"2024 2/4","합계","종로구",한국인 (명),소계,139189
"2024 2/4","합계","종로구",한국인 (명),남자,67005
"2024 2/4","합계","종로구",한국인 (명),여자,72184
"2024 2/4","합계","종로구",등록외국인 (명),소계,11015
"2024 2/4","합계","종로구",등록외국인 (명),남자,4679
"2024 2/4","합계","종로구",등록외국인 (명),여자,6336
"2024 2/4","합계","종로구",세대당인구 (명),소계,1.92
"2024 2/4","합계","종로구",65세이상고령자 (명),소계,29338
"2024 2/4","합계","중구",세대 (세대),소계,65273
"2024 2/4","합계","중구",계 (명),소계,131800
"2024 2/4","합계","중구",계 (명),남자,63383
"2024 2/4","합계","중구",계 (명),여자,68417
"2024 2/4","합계","중구",한국인 (명),소계,121475
"2024 2/4","합계","중구",한국인 (명),남자,58582
"2024 2/4","합계","중구",한국인 (명),여자,62893
"2024 2/4","합계","중구",등록외국인 (명),소계,10325
"2024 2/4","합계","중구",등록외국인 (명),남자,4801
"2024 2/4","합계","중구",등록외국인 (명),여자,5524
"2024 2/4","합계","중구",세대당인구 (명),소계,1.86
"2024 2/4","합계","중구",65세이상고령자 (명),소계,26516
"2024 2/4","합계","용산구",세대 (세대),소계,104187
"2024 2/4","합계","용산구",계 (명),소계,219451
"2024 2/4","합계","용산구",계 (명),남자,105752
"2024 2/4","합계","용산구",계 (명),여자,113699
"2024 2/4","합계","용산구",한국인 (명),소계,206061
"2024 2/4","합계","용산구",한국인 (명),남자,98564
"2024 2/4","합계","용산구",한국인 (명),여자,107497
"2024 2/4","합계","용산구",등록외국인 (명),소계,13390
"2024 2/4","합계","용산구",등록외국인 (명),남자,7188
"2024 2/4","합계","용산구",등록외국인 (명),여자,6202
"2024 2/4","합계","용산구",세대당인구 (명),소계,1.98
"2024 2/4","합계","용산구",65세이상고령자 (명),소계,39021
"2024 2/4","합계","성동구",세대 (세대),소계,133233
"2024 2/4","합계","성동구",계 (명),소계,283853
"2024 2/4","합계","성동구",계 (명),남자,136993
"2024 2/4","합계","성동구",계 (명),여자,146860
"2024 2/4","합계","성동구",한국인 (명),소계,276597
"2024 2/4","합계","성동구",한국인 (명),남자,133939
"2024 2/4","합계","성동구",한국인 (명),여자,142658
"2024 2/4","합계","성동구",등록외국인 (명),소계,7256
"2024 2/4","합계","성동구",등록외국인 (명),남자,3054
"2024 2/4","합계","성동구",등록외국인 (명),여자,4202
"2024 2/4","합계","성동구",세대당인구 (명),소계,2.08
"2024 2/4","합계","성동구",65세이상고령자 (명),소계,50534
"2024 2/4","합계","광진구",세대 (세대),소계,170469
"2024 2/4","합계","광진구",계 (명),소계,350005
"2024 2/4","합계","광진구",계 (명),남자,166736
"2024 2/4","합계","광진구",계 (명),여자,183269
"2024 2/4","합계","광진구",한국인 (명),소계,334159
"2024 2/4","합계","광진구",한국인 (명),남자,160329
"2024 2/4","합계","광진구",한국인 (명),여자,173830
"2024 2/4","합계","광진구",등록외국인 (명),소계,15846
"2024 2/4","합계","광진구",등록외국인 (명),남자,6407
"2024 2/4","합계","광진구",등록외국인 (명),여자,9439
"2024 2/4","합계","광진구",세대당인구 (명),소계,1.96
"2024 2/4","합계","광진구",65세이상고령자 (명),소계,58307
"2024 2/4","합계","동대문구",세대 (세대),소계,173903
"2024 2/4","합계","동대문구",계 (명),소계,360066
"2024 2/4","합계","동대문구",계 (명),남자,174065
"2024 2/4","합계","동대문구",계 (명),여자,186001
"2024 2/4","합계","동대문구",한국인 (명),소계,341345
"2024 2/4","합계","동대문구",한국인 (명),남자,167147
"2024 2/4","합계","동대문구",한국인 (명),여자,174198
"2024 2/4","합계","동대문구",등록외국인 (명),소계,18721
"2024 2/4","합계","동대문구",등록외국인 (명),남자,6918
"2024 2/4","합계","동대문구",등록외국인 (명),여자,11803
"2024 2/4","합계","동대문구",세대당인구 (명),소계,1.96
"2024 2/4","합계","동대문구",65세이상고령자 (명),소계,68503
"2024 2/4","합계","중랑구",세대 (세대),소계,188664
"2024 2/4","합계","중랑구",계 (명),소계,386782
"2024 2/4","합계","중랑구",계 (명),남자,188839
"2024 2/4","합계","중랑구",계 (명),여자,197943
"2024 2/4","합계","중랑구",한국인 (명),소계,381126
"2024 2/4","합계","중랑구",한국인 (명),남자,186600
"2024 2/4","합계","중랑구",한국인 (명),여자,194526
"2024 2/4","합계","중랑구",등록외국인 (명),소계,5656
"2024 2/4","합계","중랑구",등록외국인 (명),남자,2239
"2024 2/4","합계","중랑구",등록외국인 (명),여자,3417
"2024 2/4","합계","중랑구",세대당인구 (명),소계,2.02
"2024 2/4","합계","중랑구",65세이상고령자 (명),소계,81160
"2024 2/4","합계","성북구",세대 (세대),소계,197371
"2024 2/4","합계","성북구",계 (명),소계,436666
"2024 2/4","합계","성북구",계 (명),남자,207814
"2024 2/4","합계","성북구",계 (명),여자,228852
"2024 2/4","합계","성북구",한국인 (명),소계,424194
"2024 2/4","합계","성북구",한국인 (명),남자,203323
"2024 2/4","합계","성북구",한국인 (명),여자,220871
"2024 2/4","합계","성북구",등록외국인 (명),소계,12472
"2024 2/4","합계","성북구",등록외국인 (명),남자,4491
"2024 2/4","합계","성북구",등록외국인 (명),여자,7981
"2024 2/4","합계","성북구",세대당인구 (명),소계,2.15
"2024 2/4","합계","성북구",65세이상고령자 (명),소계,81965
"2024 2/4","합계","강북구",세대 (세대),소계,143075
"2024 2/4","합계","강북구",계 (명),소계,290252
"2024 2/4","합계","강북구",계 (명),남자,139521
"2024 2/4","합계","강북구",계 (명),여자,150731
"2024 2/4","합계","강북구",한국인 (명),소계,285054
"2024 2/4","합계","강북구",한국인 (명),남자,137733
